DATE,return
23SEP1931,0.0584930905
24SEP1931,-0.073319091
25SEP1931,0.0190219381
28SEP1931,-0.051072942
29SEP1931,-0.044965702
30SEP1931,-0.032485928
01OCT1931,-0.009882017
02OCT1931,0.012672861
05OCT1931,-0.113559926
06OCT1931,0.1386351363
07OCT1931,-0.020543792
08OCT1931,0.0834514791
09OCT1931,-0.012651774
13OCT1931,-0.041236912
14OCT1931,-0.030076694
15OCT1931,0.0146956415
16OCT1931,0.0375789744
19OCT1931,0.0093231713
20OCT1931,0.0490433025
21OCT1931,-0.002395873
22OCT1931,-0.031585026
23OCT1931,0.0360955501
26OCT1931,-0.023322776
27OCT1931,-0.020131722
28OCT1931,-0.036435148
29OCT1931,0.0013917887
30OCT1931,0.0323538946
02NOV1931,0.0050846754
04NOV1931,0.0359950526
05NOV1931,0.0023051045
06NOV1931,0.0374196391
09NOV1931,0.0354705827
10NOV1931,-0.024354456
11NOV1931,-0.017434841
12NOV1931,-0.00053581
13NOV1931,-0.042144143
16NOV1931,-0.024236181
17NOV1931,0.0132753704
18NOV1931,-0.04301842
19NOV1931,-0.004336264
20NOV1931,-0.033033474
23NOV1931,-0.013980491
24NOV1931,0.0205939351
25NOV1931,-0.046283421
27NOV1931,-0.028003984
30NOV1931,0.0250255752
01DEC1931,-0.029184951
02DEC1931,-0.036526091
03DEC1931,0.0202709644
04DEC1931,-0.033325083
07DEC1931,0.0378854603
08DEC1931,-0.040886732
09DEC1931,-0.027662336
10DEC1931,-0.020168751
11DEC1931,-0.034922421
14DEC1931,-0.030732415
15DEC1931,0.0177132086
16DEC1931,-0.027211686
17DEC1931,-0.035936792
18DEC1931,0.0893914308
21DEC1931,-0.03288071
22DEC1931,0.0186518127
23DEC1931,-0.045389291
24DEC1931,-0.002370606
28DEC1931,-0.026725268
29DEC1931,0.0267252678
30DEC1931,0.0169960948
31DEC1931,0.0098040001
04JAN1932,-0.084470553
05JAN1932,-0.004900941
06JAN1932,0.0687495329
07JAN1932,0.0222893768
08JAN1932,0.0471838755
11JAN1932,-0.016765679
12JAN1932,-0.013139149
13JAN1932,0.0607209399
14JAN1932,0.0116670936
15JAN1932,0.0061905238
18JAN1932,-0.052961638
19JAN1932,-0.004306374
20JAN1932,0.0300016429
21JAN1932,-0.001796515
22JAN1932,-0.056848196
25JAN1932,-0.001905125
26JAN1932,0.0138873586
27JAN1932,-0.024623658
28JAN1932,-0.014105701
29JAN1932,-0.002348644
01FEB1932,0.0394467842
02FEB1932,-0.022992439
03FEB1932,0.0056381492
04FEB1932,-0.007696292
05FEB1932,-0.034852211
08FEB1932,-0.020883211
09FEB1932,-0.014674884
10FEB1932,-0.008045542
11FEB1932,0.0904872234
15FEB1932,0.044540264
16FEB1932,0.0425241226
17FEB1932,-0.041794284
18FEB1932,0.0345376982
19FEB1932,0.0099352112
23FEB1932,-0.068843346
24FEB1932,0.0303109284
25FEB1932,-0.008253476
