volume,close,return
4.18814,18.62,0.003773585
2.68476,18.57,-0.002685285
3.56319,18.72,0.008077544
4.18378,18.42,-0.016025641
4.90326,18.46,0.002171553
6.09395,17.93,-0.028710726
6.65925,17.55,-0.02119353
3.84417,17.64,0.005128205
4.28852,18.26,0.035147392
13.93525,18.38,0.006571742
10.79335,18.57,0.010337323
5.14509,18.48,-0.004846527
4.71013,18.84,0.019480519
5.1378,18.73,-0.005838641
6.23386,19.07,0.018152696
5.97942,19.34,0.014158364
4.197,19.1,-0.012409514
4.31822,19.34,0.012565445
4.67377,19.44,0.005170631
6.09293,19.05,-0.020061728
5.13845,19.32,0.014173228
4.46638,19.04,-0.014492754
5.8736,19.31,0.014180672
5.37919,19.64,0.017089591
5.687,19.7,0.00305499
7.30222,20.33,0.031979695
6.17119,19.99,-0.016724053
2.12474,19.93,-0.003001501
2.90474,19.83,-0.005017561
5.62509,19.51,-0.016137166
3.29782,19.55,0.002050231
5.45906,19.14,-0.020971867
4.27647,19.2,0.003134796
5.01882,18.96,-0.0125
3.24214,19.28,0.016877637
3.57707,19.11,-0.008817427
5.1954,19.24,0.006802721
3.92851,19.35,0.005717256
4.1939,19.31,-0.002067183
11.60625,19.38,0.003625065
6.14934,19.6,0.011351909
5.48911,19.48,-0.006122449
4.25877,19.51,0.001540041
5.72756,20.06,0.028190671
8.02683,20.41,0.017447657
4.49936,20.29,-0.005879471
3.83284,20.24,-0.002464268
3.57343,20.22,-0.000988142
4.40004,20.02,-0.009891197
3.78915,20.45,0.021478521
3.41595,20.46,0.000488998
3.11153,20.6,0.00684262
3.23459,20.49,-0.005339806
3.11597,20.54,0.002440215
2.44191,20.58,0.00194742
2.68736,20.47,-0.005344995
3.0095,20.43,-0.001954079
2.88701,20.45,0.000978953
3.3598,20.53,0.00391198
3.00325,20.48,-0.00243546
2.73855,20.42,-0.002929687
3.04388,20.34,-0.003917728
2.80168,20.27,-0.003441495
3.65388,20.13,-0.006906759
2.93382,20.29,0.007948336
2.87756,20.34,0.002464268
